中国科学技术大学出版社 安微 7321
中国长安出版社 北京 75107
中国长安出版社 北京 780175
中国长城艺术文化中心 北京 788006
中国政法大学出版社 北京 75620
中国知识出版社 北京 75265
中国知识出版社 北京 76568
中国致公出版社 北京 780096
中国致公出版社 北京 780179
中国中医药出版社 北京 780089
中国中医药出版社 北京 780156
中国中医药出版社 北京 780231
中国中医药出版社 北京 7900115
中国中医药出版社 北京 7980041
中国中医药出版社 北京 7980047
中国卓越出版公司 北京 780071
中华工商联合出版社 北京 780100
中华工商联合出版社 北京 780193
中华工商联合出版社 北京 780249
中华书局 北京 7101
中华文艺音像出版社 北京 788043
中华医学电子音像出版社 北京 788032
中华医学电子音像出版社 北京 7900191
中经录音录像中心 北京 788017
中科多媒体电子出版社 北京 7900025
中科多媒体电子出版社 北京 7900084
中科多媒体电子出版社 北京 7900098
中科多媒体电子出版社 北京 7900130
中科多媒体电子出版社 北京 7900139
中新音像出版社 北京 788062
中信出版社 北京 75086
中信出版社 北京 780073
中信出版社 北京 97875086
中信出版社 北京 97875086
中央编译出版社 北京 75117
中央编译出版社 北京 780109
中央编译出版社 北京 780211
中央广播电视大学出版社 北京 7304
中央广播电视大学出版社 北京 73040
中央广播电视大学出版社 北京 7403
中央广播电视大学出版社 北京 77995
中央广播电视大学音像出版社 北京 779892
中央教育科学研究所音像出版社 北京 788013
中央民族大学出版社 北京 781056
中央民族大学出版社 北京 781108
中央民族学院出版社 北京 781001
中央文献出版社 北京 75073
中央文献音像出版社 北京 788737
中央新影音像出版社 北京 788008
中央音乐学院北京环球音像出版社 北京 788058
中央音乐学院出版社 北京 781096
中医古籍出版社 北京 780013
中医古籍出版社 北京 780174
中影音像出版社 北京 788000
专利文献出版社 北京 780011
紫禁城出版社 北京 780047
宗教文化出版社 北京 780123
宗教文化出版社 北京 780254
作家出版社 北京 75063
清华大学出版 北京市 7900635
人民邮电出版社 北京市 7900058
(台)大舆出版社 北市 9578522
(台)威捷系统科技股份有限公司 北市 9578502
半岛音像出版社 不详 788367
青藏人民出版社 不详 786415
巴蜀书社 成都 780523
巴蜀书社 成都 780659
巴蜀书社 成都 780752
成都出版社 成都 780575
成都地图出版社 成都 780544
成都地图出版社 成都 780704
成都科技大学出版社 成都 75616
成都科技大学出版社 成都 76516
成都时代出版社 成都 75464
成都时代出版社 成都 780705
电子科技大学出版社 成都 701016
电子科技大学出版社 成都 75647
电子科技大学出版社 成都 781016
电子科技大学出版社 成都 781043
电子科技大学出版社 成都 781065
电子科技大学出版社 成都 781094
电子科技大学出版社 成都 781114
电子科技大学出版社 成都 7900651
电子科技大学出版社 成都 7900668
峨眉电影制片厂音像出版社 成都 788572
蜀蓉棋艺出版社 成都 780548
四川出版集团 成都 7900397
四川出版集团 成都 7900428
四川出版集团 成都 7900450
四川出版集团 成都 7900528
四川辞书出版社 成都 780543
四川辞书出版社 成都 780682
四川大学出版社 成都 75614
四川大学出版社 成都 75914
四川大学出版社 成都 76514
四川电子音像出版中心 成都 788902
四川电子音像出版中心 成都 7900319
四川电子音像出版中心 成都 7900343
四川电子音像出版中心 成都 7900355
四川电子音像出版中心 成都 7900371
四川教育出版社 成都 75408
四川科学技术出版社 成都 70364
四川科学技术出版社 成都 75164
四川科学技术出版社 成都 75364
四川科学技术出版社 成都 77364
四川美术出版社 成都 75410
四川民族出版社 成都 75409
四川民族出版社 成都 75490
四川人民出版社 成都 7220
四川少年儿童出版社 成都 75365
四川省社会科学院出版社 成都 780524
四川文艺出版社 成都 75411
四川文艺音像出版社 成都 788581
四川音像出版社 成都 788571
四川远程电子出版社 成都 7900713
天地出版社 成都 75455
天地出版社 成都 780324
天地出版社 成都 780624
天地出版社 成都 780726
西南财经大学出版社 成都 781017
西南财经大学出版社 成都 781055
西南财经大学出版社 成都 781088
西南交通大学出版社 成都 75643
西南交通大学出版社 成都 781022
西南交通大学出版社 成都 781057
西南交通大学出版社 成都 781104
西南交通大学出版社 成都 787022
西南交通大学出版社 成都 7980020
中国唱片成都公司 成都 788570
金版电子出版公司 出版地不详 7900132
扬子江音像出版社 出版地不详 788473
大连出版社 大连 780555
大连出版社 大连 780612
大连出版社 大连 780684
大连海事大学出版社 大连 75632
大连理工大学出版社 大连 75611
大连理工大学出版社 大连 788394
大连理工大学出版社 大连 788835
大连理工大学出版社 大连 7900645
大连理工大学出版社 大连 7900670
大连理工大学出版社 大连 7900699
大连理工大学出版社 大连 7980046
东北财经大学出版社 大连 781005
东北财经大学出版社 大连 781084
东北财经大学出版社 大连 781122
辽宁师范大学出版社 大连 781103
(台)淡江大学出版社 淡水镇 9579078
石油大学出版社 东营 75636
石油大学出版社 东营 75939
石油大学出版社 东营 76536
福建省地图出版社 福建 75467
福建教育出版社 福州 75334
福建科学技术出版社 福州 75335
福建美术出版社 福州 75393
福建人民出版社 福州 7211
福建人民出版社 福州 72110
福建少年儿童出版社 福州 75395
福建少年儿童出版社 福州 75495
福建省地图出版社 福州 780516
福建省文艺音像出版社 福州 788411
福建省音像出版社 福州 788403
福建省音像出版社 福州 788423
福建省长龙影视公司出版 福州 788405
海潮摄影艺术出版社 福州 780562
海潮摄影艺术出版社 福州 780691
海风出版社 福州 780597
海峡文艺出版社 福州 780534
海峡文艺出版社 福州 780719
鹭江出版社 福州 700
甘肃民族出版社 甘肃 75421
甘肃人民 甘肃 7266
(台)常春藤出版社 高雄 9579163
(台)读者文化出版事业有限公司 高雄 9578569
(台)古印出版社 高雄 9578518
(台)国立中山大学 高雄 9579014
(台)河畔出版社 高雄 9579266
(台)前程出版社 高雄 9579574
大声出版事业有限公司 高雄 9627251
复文图书出版社 高雄 957555
丽文文化事业股份有限 高雄 957748
前程出版社有限公司 高雄 957704
(台)百成书店有限公司 高雄市 9579222
(台)合声文化事业有限公司 高雄市 9579360
(台)生合成出版社 高雄市 9579471
(台)收获美术出版社 高雄市 9578551
(台)欣禾图书有限公司 高雄市 9579413
(台)形而上出版社 高雄市 9578594
(台)建泰出版社有限公司 高雄县 9578584
(台)金峰出版社 高雄县 9579656
(台)南冠出版社 高雄县 9579659
广东省地图出版社 广东 782522
世图音像电子出版社 广东 788765
接力出版社 广西 75448
广东高等教育出版社 广州 75361
广东海燕电子音像出版社 广州 788510
广东海燕电子音像出版社 广州 7900318
广东海燕电子音像出版社 广州 7900369
广东海燕电子音像出版社 广州 7900425
广东惠州音像出版 广州 788494
广东教育出版社 广州 74406
广东教育出版社 广州 75406
广东经济出版社 广州 780632
广东经济出版社 广州 780677
广东经济出版社 广州 780728
广东科技出版社 广州 75359
广东科技出版社 广州 75759
广东科技出版社 广州 7900341
广东科技出版社 广州 7980003
广东旅游出版社 广州 780521
广东旅游出版社 广州 780653
广东旅游出版社 广州 780766
广东旅游出版社 广州 7900195
广东人民出版社 广州 7218
广东人民出版社 广州 75462
广东人民出版社 广州 7900356
广东省出版集团 广州 75454
广东省地图出版社 广州 780522
广东省地图出版社 广州 780721
广东省地图出版社 广州 787021
广东省语言音像出版社 广州 788497
广东省语言音像电子出版社 广州 788521
广东省语言音像电子出版社 广州 7900409
广东世界图书出版公司 广州 75100
广东世界图书出版社公司 广州 70562
广东四海一族发行有限公司 广州 788512
广东星外星文化传播有限公司 广州 788368
广东音像出版社 广州 77799
广东音像出版社 广州 788301
广东音像出版社 广州 788486
广东音像出版社 广州 788489
广东音像出版社 广州 788513
广东音像出版社发行 广州 77989
广东珠江音像出版社 广州 788493
广东珠江音像出版社 广州 788523
广州出版社 广州 780592
广州出版社 广州 780655
广州出版社 广州 780731
广州出版社 广州 780952
广州市新时代影音公司 广州 788525
广州外语音像出版社 广州 788482
广州文化 广州 75431
广州音像出版社 广州 788495
广州音像出版社 广州 788518
花城出版社 广州 75360
花城出版社 广州 75860
华南理工大学出版社 广州 75623
暨南大学出版社 广州 781029
暨南大学出版社 广州 781079
暨南大学出版社 广州 781135
九洲音像出版公司 广州 788059
九洲音像出版公司 广州 788929
岭南美术出版社 广州 75362
南方日报出版社 广州 780652
南海潮音像出版社 广州 788508
人民体育音像出版社 广州 788721
太平洋出版社 广州 779910
太平洋影音公司 广州 77991
新世纪出版社 广州 74505
新世纪出版社 广州 75405
羊城晚报出版社 广州 780651
中国唱片广州公司 广州 788481
中国唱片广州公司 广州 788514
中国集邮出版社 广州 780048
中山大学出版社 广州 7036
中山大学出版社 广州 7306
中山大学出版社 广州 7360
中山大学音像出版社 广州 788490
珠影白天鹅音像出版社 广州 778849
珠影白天鹅音像出版社 广州 779894
珠影白天鹅音像出版社 广州 788491
珠影白天鹅音像出版社 广州 788509
贵州东方音像出版社 贵阳 788577
贵州教育出版社 贵阳 780583
贵州科技出版社 贵阳 780662
贵州科学技术出版社 贵阳 780584
贵州美术出版社 贵阳 75413
贵州民族出版社 贵阳 75412
贵州人民出版社 贵阳 7221
贵州文化音像出版社 贵阳 788582
贵州文化音像出版社 贵阳 788586
贵州长江出版社 贵阳 781540
贵州人民出版社 贵州 7258
广西师范大学出版社 桂林 75633
漓江出版社 桂林 705407
漓江出版社 桂林 75407
北方文艺出版社 哈尔滨 75317
北方文艺出版社 哈尔滨 75717
东北林业大学出版社 哈尔滨 781008
哈尔滨 哈尔滨 780646
哈尔滨出版社 哈尔滨 780557
哈尔滨出版社 哈尔滨 780639
哈尔滨出版社 哈尔滨 780699
哈尔滨出版社 哈尔滨 780744
哈尔滨出版社 哈尔滨 780753
哈尔滨地图出版社 哈尔滨 75465
哈尔滨地图出版社 哈尔滨 780529
哈尔滨地图出版社 哈尔滨 780717
哈尔滨工程大学出版社 哈尔滨 781007
哈尔滨工程大学出版社 哈尔滨 781073
哈尔滨工程大学出版社 哈尔滨 781133
黑龙江教育出版社 哈尔滨 75131
黑龙江教育出版社 哈尔滨 75216
黑龙江教育出版社 哈尔滨 75316
黑龙江教育音像出版社 哈尔滨 7900415
黑龙江科不术出版社 哈尔滨 788093
黑龙江科学技术出版社 哈尔滨 75388
黑龙江美术出版社 哈尔滨 75318
黑龙江人民出版社 哈尔滨 7207
黑龙江人民出版社 哈尔滨 7237
黑龙江少年儿童出版社 哈尔滨 75319
黑龙江少年儿童出版社 哈尔滨 97875319
黑龙江省教育音像出版社 哈尔滨 788357
黑龙江文化音像出版社 哈尔滨 788363
黑龙江文化音像出版社 哈尔滨 7900416
海南出版社 海口 75443
海南出版社 海口 780590
海南出版社 海口 780617
海南出版社 海口 780645
海南国际新闻出版中心 海口 780609
海南人民出版社 海口 780541
海南摄影美术 海口 780637
海南摄影美术出版社 海口 780571
海南省电子音像出版社 海口 788511
海南省电子音像出版社 海口 7900316
南方出版社 海口 780701
南方出版社 海口 780760
南海出版公司 海口 75442
南海出版公司 海口 780570
南海出版社 海口 77805
三环出版社 海口 780564
三环出版社 海口 780700
三环出版社 海口 782564
三环出版社 海口 786564
杭州出版社 杭州 780633
杭州出版社 杭州 780758
杭州大学出版社 杭州 781035
西泠印社 杭州 780517
西泠印社出版社 杭州 780735
浙江大学出版社 杭州 7308
浙江大学出版社 杭州 73080
浙江大学出版社 杭州 7388
浙江大学出版社 杭州 788851
浙江大学出版社 杭州 789490
浙江大学出版社 杭州 7900647
浙江大学出版社 杭州 7900662
浙江大学出版社 杭州 7900666
浙江大学出版社 杭州 7900674
浙江大学出版社 杭州 7900691
浙江电子音像出版社 杭州 7900342
浙江电子音像出版社 杭州 7900368
浙江工商大学出版社 杭州 781140
浙江古籍出版社 杭州 780518
浙江古籍出版社 杭州 780715
浙江古籍出版社 杭州 781518
浙江教育出版社 杭州 75338
浙江教育出版社 杭州 75538
浙江科学技术出版社 杭州 75341
浙江美术学院出版社 杭州 781019
浙江人民出版社 杭州 7213
浙江人民出版社 杭州 7231
浙江人民出版社 杭州 7900309
浙江人民美术出版社 杭州 75340
浙江少年儿童出版社 杭州 75342
浙江摄影出版社 杭州 780536
浙江摄影出版社 杭州 780686
浙江文艺出版社 杭州 75229
浙江文艺出版社 杭州 75339
浙江文艺音像出版社 杭州 788400
浙江文艺音像出版社 杭州 788417
浙江音像出版社 杭州 788399
浙江音像出版社 杭州 788427
中国美术学院出版社 杭州 781083
安徽大学出版社 合肥 781052
安徽大学出版社 合肥 781110
安徽电子音像出版社 合肥 788856
安徽电子音像出版社 合肥 7900331
安徽电子音像出版社 合肥 7900378
安徽教育出版社 合肥 75336
安徽科学技术出版社 合肥 75337
安徽美术出版社 合肥 75398
安徽人民出版社 合肥 7212
安徽少年儿童出版社 合肥 75397
安徽文艺出版社 合肥 75396
安徽音像出版社 合肥 788401
安微音像出版社 合肥 788419
合肥工业大学出版社 合肥 75650
合肥工业大学出版社 合肥 781093
黄山书社 合肥 730535
黄山书社 合肥 75461
黄山书社 合肥 780535
黄山书社 合肥 780630
黄山书社 合肥 780707
中国科技大学出版社 合肥 7312
河南电子音像出版社 河南 7900317
哈尔滨工业大学出版社 黑龙江 75603
黑龙江大学出版社 黑龙江 781129
内蒙古大学出版社 呼和浩特 781015
内蒙古大学出版社 呼和浩特 781115
内蒙古教育出版社 呼和浩特 75311
内蒙古科学技术出版社 呼和浩特 75380
内蒙古人民出版社 呼和浩特 7204
内蒙古人民出版社 呼和浩特 720400
内蒙古人民出版社 呼和浩特 720403
内蒙古人民出版社 呼和浩特 720406
内蒙古人民出版社 呼和浩特 720409
内蒙古文化出版社 呼和浩特 780506
内蒙古文化音像出版社 呼和浩特 788316
远方出版社 呼和浩特 763783
远方出版社 呼和浩特 780595
远方出版社 呼和浩特 780723
远方出版社 呼和浩特 780959
远方出版社 呼和浩特 978780723
内蒙古文化出版社 呼伦贝尔 780675
武汉大学音像出版社 湖北 788476
吉林电子出版社 吉林 7900444
吉林电子出版社 吉林 7900451
吉林文史出版社 吉林 770802
长影银声音像出版社 吉林 788372
黄河出版社 济南 75460
黄河出版社 济南 780152
黄河出版社 济南 780558
济南出版社 济南 780572
济南出版社 济南 780629
济南出版社 济南 780710
明天出版社 济南 75332
齐鲁电子音像出版社 济南 788408
齐鲁电子音像出版社 济南 7900433
齐鲁电子音像出版社 济南 7900447
齐鲁电子音像出版社 济南 7900452
齐鲁书社 济南 75333
山东大学出版社 济南 75607
山东电子音像出版社 济南 788857
山东电子音像出版社 济南 789419
山东电子音像出版社 济南 7900370
山东电子音像出版社 济南 790038
山东电子音像出版社 济南 7900398
山东画报出版社 济南 75474
山东画报出版社 济南 780603
山东画报出版社 济南 780713
山东教育出版社 济南 75328
山东科学技术出版社 济南 75331
山东科学技术出版社 济南 788925
山东科学技术出版社 济南 79007
山东科学技术出版社 济南 7900732
山东美术出版社 济南 75330
山东人民出版社 济南 7209
山东人民出版社 济南 73329
山东省地图出版社 济南 780532
山东省地图出版社 济南 780754
山东省地图出版社 济南 785032
山东文化音像出版社 济南 788412
山东文化音像出版社 济南 788425
山东文化音像出版社 济南 788426
山东文艺出版社 济南 75329
山东友谊出版社 济南 780551
山东友谊出版社 济南 780737
世图音像电子出版社 济南 788742
泰山出版社 济南 780634
(台)明东出版社 嘉义市 9579351
(台)明统图书有限公司 嘉义市 957542
(台)桃源出版社 嘉义市 9579098
(台)香光书乡出版社 嘉义市 95799949
(台)文艺学社出版社 嘉义县 9579115
江苏大学出版社 江苏 781130
江西文化音像出版社 江西 788410
喀什维吾尔文出版社 喀什 75373
河南大学出版社 开封 75649
河南大学出版社 开封 781018
河南大学出版社 开封 781041
晨光出版社 昆明 75414
云南大学出版社 昆明 781025
云南大学出版社 昆明 781112
云南教育出版社 昆明 75145
云南教育出版社 昆明 75415
云南教育出版社 昆明 7900390
云南科学技术出版社 昆明 75416
云南美术出版社 昆明 780586
云南美术出版社 昆明 780695
云南美术出版社 昆明 780856
云南民族出版社 昆明 73567
云南民族出版社 昆明 75367
云南人民出版社 昆明 7222
云南文艺出版社 昆明 780585
云南音像出版社 昆明 7900392
藏文古籍出版社 拉萨 780589
西藏人民出版社 拉萨 7223
西藏人民出版社 拉萨 7233
敦煌文艺出版社 兰州 780587
甘肃教育出版社 兰州 75423
甘肃科学技术出版社 兰州 75244
甘肃科学技术出版社 兰州 75424
甘肃科学技术出版社 兰州 76424
甘肃人民出版社 兰州 7226
甘肃人民美术出版社 兰州 780588
甘肃少年儿童出版社 兰州 75422
甘肃文化出版社 兰州 71060
甘肃文化出版社 兰州 780608
甘肃音像出版社 兰州 788616
兰州大学出版社 兰州 7311
兰州大学出版社 兰州 73110
德宏民族出版社 潞西 780750
德宏民族出版社 芒市 780525
八方文化企业公司 美国 1879771
(台)金字塔出版社 苗栗县 9579268
黑龙江朝鲜民族出版社 牡丹江 75389
百花洲文艺出版社 南昌 780579
百花洲文艺出版社 南昌 780742
二十一世纪出版社 南昌 75391
红星电子音像出版社 南昌 788428
红星电子音像出版社 南昌 7900373
江西高校出版社 南昌 781033
江西高校出版社 南昌 781075
江西高校出版社 南昌 781132
江西教育出版社 南昌 75392
江西教育出版社 南昌 75932
江西教育音像电子出版社 南昌 7900463
江西科学技术出版社 南昌 75390
江西美术出版社 南昌 780580
江西美术出版社 南昌 780749
江西人民出版社 南昌 7210
中国农影音像出版社 南昌 788415
东南大学出版社 南京 75641
东南大学出版社 南京 781023
东南大学出版社 南京 781050
东南大学出版社 南京 788850
东南大学出版社 南京 7900714
凤凰出版社 南京 780643
凤凰出版社 南京 780729
河海大学出版社 南京 75630
江苏电子音像出版社 南京 788854
江苏古籍出版社 南京 780519
江苏古籍出版社 南京 781519
江苏广陵古籍刻印社 南京 760101
江苏教育出版社 南京 74343
江苏教育出版社 南京 75343
江苏科学技术出版社 南京 75345
江苏美术出版社 南京 75344
江苏美术出版社 南京 76344
江苏人民出版社 南京 7214
江苏少年儿童出版社 南京 75346
江苏省出版总社 南京 7900303
江苏文化音像出版社 南京 788409
江苏文艺出版社 南京 75399
南京出版社 南京 780560
南京出版社 南京 7805607095
南京出版社 南京 780614
南京出版社 南京 780718
南京大学出版社 南京 7305
南京大学出版社 南京 7350
南京大学电子出版社 南京 788863
南京大学电子音像出版社 南京 7900652
南京师范大学出版社 南京 781047
南京师范大学出版社 南京 781101
南京音像出版社 南京 788397
南京音像出版社 南京 788398
南京音像出版社 南京 788421
译林出版社 南京 780567
译林出版社 南京 780657
广西教育出版社 南宁 75435
广西教育出版社 南宁 77435
广西接力出版社 南宁 780631
广西科学技术出版社 南宁 708619
广西科学技术出版社 南宁 780565
广西科学技术出版社 南宁 780619
广西科学技术出版社 南宁 780666
广西科学技术出版社 南宁 780763
广西美术出版社 南宁 780582
广西美术出版社 南宁 780625
广西美术出版社 南宁 780674
广西美术出版社 南宁 780746
广西民族出版社 南宁 75363
广西民族音像出版社 南宁 788506
广西人民出版社 南宁 7219
广西人民出版社 南宁 72190
广西文化音像出版社 南宁 788503
广西音像出版社 南宁 788500
接力出版社 南宁 780581
接力出版社 南宁 780679
(台)元皇出版社 南投 9578567
(台)人乘佛教书籍出版社 南投县 9579452
(台)人乘佛刊杂志社 南投县 9578504
(台)日新文化出版社 南投县 9579247
(台)玉山国家公园出版社 南投县 9579583
内蒙古人民出版社 内蒙 7240
内蒙古人民出版社 内蒙古 7254
宁波出版社 宁波 780602
宁波出版社 宁波 780743
(台)大华出版社 屏东 9578589
(台)毋忘在莒出版社 屏东 9579643
(台)中西科学出版社 屏东 9579455
(台)宏仁出版社 屏东市 9579648
青岛出版社 青岛 75436
青岛海洋大学出版社 青岛 781026
中国海洋大学出版社 青岛 781067
中国海洋大学出版社 青岛 781125
新雨出版社 三重 957733
鹭江出版社 厦门 75459
鹭江出版社 厦门 780533
鹭江出版社 厦门 780610
鹭江出版社 厦门 780671
厦门大学出版社 厦门 75615
山东大学音像出版社 山东 788866
山东电子出版社 山东 7900347
山东电子音像出版社 山东 789481
山东电子音像出版社 山东 789491
山东电子音像出版社 山东 7900382
天则出版社 陕西 780559
汕头大学出版社 汕头 781036
汕头大学出版社 汕头 781120
汕头大学出版社 汕头 788120
汕头海洋音像出版社 汕头 788485
汕头海洋音像出版社 汕头 788522
百家出版社 上海 75475
百家出版社 上海 780576
百家出版社 上海 780703
百家出版社 上海 790000
第二军医大学出版社 上海 781180
第二军医大学出版社 上海 786010
东方出版中心 上海 75473
东方出版中心 上海 780186
东方出版中心 上海 780627
东方出版中心 上海 780816
东华大学出版社 上海 781111
复旦大学出版社 上海 7309
复旦大学出版社 上海 73090
复旦大学出版社 上海 788845
汉语大词典出版社 上海 75432
华东理工大学出版社 上海 75628
华东理工大学出版社 上海 75682
华东理工大学出版社 上海 7900603
华东理工大学出版社 上海 7900721
华东师范大学出版社 上海 75617
华东师范大学音像出版社 上海 788847
立信会计出版社 上海 75429
浦东电子出版社 上海 7900335
浦东电子出版社 上海 7900346
浦东电子出版社 上海 7900360
浦东电子出版社 上海 7900366
浦东电子出版社 上海 7900414
上海财经大学出版社 上海 75642
上海财经大学出版社 上海 780149
上海财经大学出版社 上海 781049
上海财经大学出版社 上海 781098
上海财经大学出版社 上海 791098
上海辞书出版社 上海 75326
上海辞书出版社 上海 75326
上海大学出版社 上海 781058
上海大学出版社 上海 781118
上海第二军医大学出版社 上海 781060
上海电影音像出版社 上海 788414
上海电子出版有限公司 上海 7900322
上海电子出版有限公司 上海 7900374
上海电子出版有限公司 上海 7900417
上海翻译出版公司 上海 780514
上海高教电子音像出版社 上海 788392
上海高教电子音像出版社 上海 7900358
上海高教电子音像出版社 上海 7980027
上海古籍出版社 上海 73525
上海古籍出版社 上海 75325
上海古籍出版社 上海 780678
上海画报出版社 上海 779961
上海画报出版社 上海 780530
上海交通大学出版社 上海 7131
上海交通大学出版社 上海 7313
上海交通大学出版社 上海 7353
上海交通大学出版社 上海 788844
上海交通大学电子音像出版社 上海 7900624
上海交通大学生出版社 上海 73130
上海教育出版社 上海 75230
上海教育出版社 上海 75320
上海教育出版社 上海 75444
上海教育出版社 上海 788843
上海锦绣文章出版社 上海 75452
上海锦绣文章出版社 上海 780685
上海科技教育出版社 上海 75428
上海科技教育出版社 上海 75482
上海科学技术出版社 上海 75223
上海科学技术出版社 上海 75253
上海科学技术出版社 上海 75323
上海科学技术出版社 上海 75523
上海科学技术出版社 上海 783237
上海科学技术文献出版 上海 780513
上海科学技术文献出版社 上海 75439
上海科学普及出版社 上海 75127
上海科学普及出版社 上海 75427
上海录像公司 上海 788390
上海录像公司 上海 788420
上海人教海文图书音像有限公司 上海 76022
上海人民出版社 上海 7208
上海人民出版社 上海 72080
上海人民出版社 上海 7708
上海人民美术出版社 上海 75322
上海社会科学院出版社 上海 770681
上海社会科学院出版社 上海 780515
上海社会科学院出版社 上海 780618
上海社会科学院出版社 上海 780681
上海社会科学院出版社 上海 780745
上海社会科学院出版社 上海 780861
上海声像出版社 上海 77994
上海师范大学出版社 上海 7900000
上海书店 上海 780569
上海书店 上海 780622
上海书店出版社 上海 75458
上海书画出版社 上海 780512
上海书画出版社 上海 780635
上海书画出版社 上海 780725
上海外语教育出版社 上海 75446
上海外语教育出版社 上海 781009
上海外语教育出版社 上海 781046
上海外语教育出版社 上海 781080
上海外语教育出版社 上海 781095
上海外语教育出版社 上海 791046
上海外语音像出版社 上海 788391
上海外语音像出版社 上海 7900681
上海文化出版社 上海 780511
上海文化出版社 上海 780740
上海文联出版社 上海 7324
上海文艺出版社 上海 75321
上海文艺音像出版社 上海 788849
上海医科大学出版社 上海 75627
上海译文出版社 上海 75237
上海译文出版社 上海 75327
上海译文出版社 上海 788841
上海音乐出版社 上海 780553
上海音乐出版社 上海 780667
上海音乐出版社 上海 780751
上海音乐学院出版社 上海 780692
上海音像出版社 上海 72980
上海音像出版社 上海 788393
上海音像公司 上海 77993
上海远东出版社 上海 75476
上海远东出版社 上海 780613
上海远东出版社 上海 780661
上海远东出版社 上海 780706
上海中医学院出版社 上海 781010
上海中医药大学出版社 上海 781121
少年儿童出版 上海 77324
少年儿童出版社 上海 75324
生活·读书·新知三联书店上海分店 上海 75426
世界图书出版公司 上海 7900129
同济大学出版社 上海 75508
同济大学出版社 上海 75608
同济大学出版社 上海 75680
同济大学电子音像出版社 上海 788846
同济大学电子音像出版社 上海 7900609
文汇出版社 上海 780531
文汇出版社 上海 780676
文汇出版社 上海 780741
文汇出版社 上海 781531
学林出版社 上海 780510
学林出版社 上海 780616
学林出版社 上海 780730
远东出版社 上海 770613
中国唱片上海公司 上海 77992
中国纺织大学出版社 上海 780138
中国纺织大学出版社 上海 781038
中华地图学社 上海 780031
方圆电子音像出版社 深圳 7900332
方圆电子音像出版社 深圳 7900344
海天出版社 深圳 780542
海天出版社 深圳 780615
海天出版社 深圳 780654
海天出版社 深圳 780697
海天出版社 深圳 780747
深圳报业集团出版社 深圳 780709
深圳激光节目出版发行公司 深圳 77990
深圳摄影出版社 深圳 73587
深圳市鹏贺文化发展有限公司 深圳 788496
深圳音像公司 深圳 788492
深圳音像公司 深圳 788517
世图音像电子出版社 深圳 7900158
中国唱片深圳公司 深圳 788498
中国唱片深圳公司 深圳 788520
白山出版社 沈阳 780566
白山出版社 沈阳 780687
半岛音像出版社 沈阳 788350
春风文艺出版社 沈阳 75313
春风文艺出版社 沈阳 75513
大连音像出版社 沈阳 788352
东北财经大学出版社 沈阳 781044
东北大学出版社 沈阳 781006
东北大学出版社 沈阳 781054
东北大学出版社 沈阳 781102
辽海出版社 沈阳 780649
辽宁大学出版社 沈阳 75160
辽宁大学出版社 沈阳 75610
辽宁大学出版社 沈阳 75910
辽宁电子出版社 沈阳 788545
辽宁电子出版社 沈阳 7900365
辽宁古籍出版社 沈阳 780507
辽宁广播电视音像出版社 沈阳 788360
辽宁广播电视音像出版社 沈阳 788365
辽宁画报出版社 沈阳 780601
辽宁教育出版社 沈阳 72853
辽宁教育出版社 沈阳 75382
辽宁教育出版社 沈阳 75832
辽宁教育出版社 沈阳 780722
辽宁教育音像出版社 沈阳 788353
辽宁科学技术出版社 沈阳 75281
辽宁科学技术出版社 沈阳 75381
辽宁科学技术出版社 沈阳 75881
辽宁美术出版社 沈阳 75314
辽宁民族出版社 沈阳 760527
辽宁民族出版社 沈阳 780527
辽宁人民 沈阳 70205
辽宁人民出版社 沈阳 7205
辽宁人民出版社 沈阳 7250
辽宁少年儿童出版社 沈阳 75315
辽宁师范大学出版社 沈阳 781042
辽宁文化艺术音像出版社 沈阳 788354
辽宁文化艺术音像出版社 沈阳 788364
辽宁文化艺术音像出版社 沈阳 788370
辽宁文体艺术音像出版社 沈阳 788366
沈阳出版社 沈阳 75441
沈阳出版社 沈阳 780556
沈阳出版社 沈阳 785556
万卷出版公司 沈阳 75470
万卷出版公司 沈阳 780759
河北百灵音像出版社 石家庄 788312
河北花山文艺出版社 石家庄 780755
河北教育出版社 石家庄 75434
河北教育音像出版社 石家庄 788822
河北科学技术出版社 石家庄 73753
河北科学技术出版社 石家庄 75375
河北科学技术出版社 石家庄 75735
河北科学技术出版社 石家庄 76375
河北美术出版社 石家庄 75310
河北人民出版社 石家庄 7202
河北少年儿童出版社 石家庄 75376
河北少年儿童出版社 石家庄 75876
河北文化音像出版社 石家庄 788315
河北音像出版社 石家庄 788311
花山文艺出版社 石家庄 780505
花山文艺出版社 石家庄 780611
花山文艺出版社 石家庄 780673
四川电子音像出版中心 四川 7900364
古吴轩出版社 苏州 780733
古吴轩出版社 苏州 880574
苏州大学出版社 苏州 781037
苏州大学出版社 苏州 781090
苏州大学出版社 苏州 781137
(台)八街九陌文化事业有限公司 台北 9578531
(台)八熊星出版社 台北 9579158
(台)巴比伦出版社 台北 9579238
(台)百川书局出版部 台北 9579651
(台)百格图书出版有限公司 台北 9579257
(台)百进图书事业出版社 台北 9579352
(台)百录企业管理顾问有限公司出版部 台北 9579029
(台)百年出版社 台北 9578577
(台)宝桥出版社 台北 9579306
(台)北门出版社 台北 957598
(台)贝伊能语文录影教学有限公司出版 台北 9579686
(台)波前电脑管理图书有限公司 台北 957590
