中国科学技术大学出版社 安微 7321
经济管理出版社 北京 780118
经济管理出版社 北京 780162
经济管理出版社 北京 780207
经济科学出版社 北京 75058
经济日报出版社 北京 780036
经济日报出版社 北京 780127
经济日报出版社 北京 780180
经济日报出版社 北京 780257
经济日报出版社 北京 780810
警官教育出版社 北京 781027
警官教育出版社 北京 781207
九州出版社 北京 75108
九州出版社 北京 780195
九洲图书出版社 北京 708114
九洲图书出版社 北京 780114
九洲音像出版公司 北京 788069
九洲音像出版公司 北京 788070
九洲音像出版公司 北京 788081
九洲音像出版公司 北京 788088
军事科学出版社 北京 780021
军事科学出版社 北京 780137
军事科学出版社 北京 780237
军事医学出版社 北京 780121
军事医学科学出版社 北京 780245
军事谊文出版社 北京 780027
军事谊文出版社 北京 780150
开明出版社 北京 780077
开明出版社 北京 780133
开明出版社 北京 780205
开明文教音像出版社 北京 788049
科学出版社 北京 03021
科学出版社 北京 703
科学出版社 北京 7030
科学出版社 北京 780160
科学出版社 北京 7900003
科学技术文献出版社 北京 75023
科学技术文献出版社 北京 75123
科学技术文献出版社 北京 77023
科学普及出版社 北京 7110
昆仑出版社 北京 780040
蓝天出版社 北京 75094
蓝天出版社 北京 780081
蓝天出版社 北京 780158
辽海出版社 北京 75451
辽海出版社 北京 780638
辽海出版社 北京 780649
辽海出版社 北京 780711
旅游教育出版社 北京 75637
煤炭工业出版社 北京 75020
煤炭工业出版社 北京 75203
民主与建设出版社 北京 780112
民族 北京 71050
民族出版社 北京 7105
民族音像出版社 北京 788705
农村读物出版社 北京 75048
农业教育声像出版社 北京 788029
农业教育声像出版社 北京 788092
企业管理出版社 北京 76024
企业管理出版社 北京 780001
企业管理出版社 北京 780147
企业管理出版社 北京 780197
企业管理出版社 北京 780255
企业管理出版社 北京 780417
企业管理出版社 北京 780917
气象出版社 北京 75029
清华大学出版社 北京 7162
清华大学出版社 北京 7302
清华大学出版社 北京 73021
清华大学出版社 北京 730217
清华大学出版社 北京 781123
清华大学出版社 北京 789494
清华大学出版社 北京 7900611
清华大学出版社 北京 7900613
清华大学出版社 北京 7900617
清华大学出版社 北京 7900622
清华大学出版社 北京 7900625
清华大学出版社 北京 7900630
清华大学出版社 北京 7900631
清华大学出版社 北京 7900637
清华大学出版社 北京 7900641
清华大学出版社 北京 7900643
清华大学音像出版社 北京 788014
清华同方光盘电子出版社 北京 789477
清华同方光盘电子出版社 北京 7900639
清华同方光盘电子出版社 北京 7900672
清华同方光盘电子出版社 北京 7900718
清华同方光盘电子出版社 北京 7900727
求全出版社 北京 71400
求实出版社 北京 780033
求真出版社 北京 780258
群言出版社 北京 780080
群言出版社 北京 780256
群言出版社 北京 780356
群言出版社 北京 780800
群众出版社 北京 73014
群众出版社 北京 75014
群众出版社 北京 75814
人民出版社 北京 701
人民出版社 北京 7010
人民出版社 北京 761
人民出版社 北京 7900004
人民法院出版社 北京 75109
人民法院出版社 北京 780056
人民法院出版社 北京 780161
人民法院出版社 北京 780217
人民交通出 北京 7144
人民交通出版社 北京 7114
人民交通出版社 北京 71140
人民交通音像电子出版社 北京 7900197
人民教育出版社 北京 7107
人民教育出版社 北京 7170
人民军医出版社 北京 700520
人民军医出版社 北京 75091
人民军医出版社 北京 780020
人民军医出版社 北京 780194
人民美术出版社 北京 7102
人民美术出版社 北京 71020
人民日报出版社 北京 780002
人民日报出版社 北京 780153
人民日报出版社 北京 780208
人民体育出版社 北京 75009
人民卫生出版社 北京 7117
人民卫生出版社 北京 7177
人民卫生出版社 北京 7900221
人民卫生出版社 北京 7980031
人民卫生出版社 北京 7980043
人民卫生电子音像出版社 北京 788720
人民卫生电子音像出版社 北京 788766
人民卫生电子音像出版社 北京 7900105
人民文学出版社 北京 702
人民武警出版社 北京 780176
人民音乐出版社 北京 7103
人民音乐出版社 北京 71030
人民音乐出版社 北京 7980012
人民邮电出版社 北京 7115
人民邮电出版社 北京 71151
人民邮电出版社 北京 7175
人民邮电出版社 北京 7900010
人民邮电出版社 北京 7900068
人民邮电出版社 北京 7900081
人民邮电出版社 北京 7900091
人民中国出版社 北京 780065
荣宝斋出版社 北京 75003
三辰影库电子音像出版社 北京 783000
三联书店 北京 710802
商务印书馆 北京 7100
商务印书馆 北京 71000
商务印书馆 北京 7700
商务印书馆国际有限公司 北京 780103
上海海文音像出版社 北京 788422
少年儿童出版社 北京 7900324
社会科学文献出版社 北京 75097
社会科学文献出版社 北京 75907
社会科学文献出版社 北京 780050
社会科学文献出版社 北京 780230
社会科学文献出版社 北京 780850
社会科学文献出版社 北京 788739
社会科学文献出版社 北京 7900227
生活·读书·新知三联书店 北京 7108
生活·读书·新知三联书店 北京 7980032
石油工业出版社 北京 75021
时事出版社 北京 780009
时事出版社 北京 780232
世界图书出版公司 北京 75062
世界图书出版公司北京公司 北京 7900039
世界知识出版社 北京 72012
世界知识出版社 北京 75012
世界知识出版社 北京 7900159
世图音像电子出版社 北京 788068
世图音像电子出版社 北京 788751
世图音像电子出版社 北京 7900099
世图音像电子出版社 北京 7900125
世图音像电子出版社 北京 7900193
首都师范大学出版社 北京 781014
首都师范大学出版社 北京 781039
首都师范大学出版社 北京 781064
首都师范大学出版社 北京 781119
书目文献出版社 北京 75013
水利电力出版社 北京 7120
台海出版社 北京 780141
台声出版社 北京 780062
腾图电子出版社 北京 7980017
滕图电子出版社 北京 7900069
天津大学 北京 75678
同心出版社 北京 780593
同心出版社 北京 780716
团结出版社 北京 780061
团结出版社 北京 780130
团结出版社 北京 780214
外国文学出版社 北京 75016
外国文学出版社 北京 76016
外文出版社 北京 7119
外文出版社 北京 788718
外语教学与研究出版社 北京 75600
外语教学与研究出版社 北京 788012
外语教学与研究出版社 北京 7900626
外语教学与研究出版社 北京 7900659
外语教学与研究出版社 北京 7900671
外语教学与研究出版社 北京 7900698
外语教学与研究出版社，北京外语音像出版社 北京 7900726
万方数据出版社 北京 7900103
万方数据电子出版社 北京 789495
万方数据电子出版社 北京 7900050
万方数据电子出版社 北京 7900070
万方数据电子出版社 北京 7900075
万方数据电子出版社 北京 7900083
万方数据电子出版社 北京 7900087
万方数据电子出版社 北京 7900123
万国学术出版社 北京 780003
万国学术出版社 北京 789003
文化教育出版社 北京 75018
文化艺术出版社 北京 75039
文化艺术出版社 北京 75239
文化艺术出版社 北京 7900696
文津出版社 北京 780554
文物出版社 北京 75010
文学古藉刊行社 北京 780055
文字改革出版社 北京 780029
五洲传播出版社 北京 75085
五洲传播出版社 北京 780113
五洲传播音像出版社 北京 788746
武警音像出版社 北京 788055
西苑出版社 北京 780108
西苑出版社 北京 780210
现代出版社 北京 780028
现代出版社 北京 780188
现代出版社 北京 780244
现代出版社 北京 782080
现代教育出版社 北京 75106
现代教育出版社 北京 780196
现代科学出版社 北京 782066
新华出版社 北京 72011
新华出版社 北京 75011
新华社音像出版中心 北京 7900117
新时代出版社 北京 75042
新世纪音像电子出版社 北京 788895
新世界出版社 北京 75104
新世界出版社 北京 770005
新世界出版社 北京 780005
新世界出版社 北京 780187
新世界出版社 北京 780228
新世界出版社 北京 788717
新星出版社 北京 780085
新星出版社 北京 780102
新星出版社 北京 780148
星球地图出版社 北京 780104
星球地图出版社 北京 780212
学术书刊出版社 北京 780045
学习出版社 北京 780116
学习出版社 北京 7900008
学苑出版色社 北京 7077
学苑出版社 北京 75077
学苑出版社 北京 780060
学苑出版社 北京 788735
学苑音像出版社 北京 788025
学苑音像出版社 北京 788050
学苑音像出版社 北京 798880
研究出版社 北京 780168
冶金工业出版社 北京 75024
译林出版社 北京 75447
印刷工业出版社 北京 780000
宇航出版社 北京 780034
宇航出版社 北京 780144
语文出版社 北京 780006
语文出版社 北京 780126
语文出版社 北京 780184
语文出版社 北京 780241
原子能出版社 北京 75022
云南民族文体音像出版社 北京 788584
长城出版社 北京 780017
长虹出版公司 北京 780063
长征出版社 北京 780015
长征出版社 北京 780204
知识产权出版社 北京 780247
知识出版社 北京 75015
职工教育出版社 北京 730059
职工教育出版社 北京 780059
中共党史出版社 北京 75098
中共党史出版社 北京 780023
中共党史出版社 北京 780136
中共党史出版社 北京 780199
中共中央党校出版社 北京 73035
中共中央党校出版社 北京 75035
中国ISBN中心 北京 75076
中国保险年鉴编辑部 北京 789995
中国标准出版社 北京 75066
中国标准出版社 北京 788740
中国标准出版社 北京 7900002
中国标准出版社 北京 7900032
中国标准出版社 北京 7900138
中国表少年音像出版社 北京 788065
中国财经出版社 北京 781929
中国财经出版社 北京 788053
中国财政经济出版社 北京 72005
中国财政经济出版社 北京 75005
中国财政经济出版社 北京 75095
中国财政经济出版社 北京 75905
中国财政经济出版社 北京 780818
中国财政经济出版社 北京 7900041
中国财政经济出版社 北京 7900184
中国藏学出版社 北京 780057
中国藏学出版社 北京 780253
中国唱片总公司 北京 77999
中国城市出版社 北京 75074
中国城市经济社会出版 北京 75704
中国出版年鉴社 北京 789997
中国传媒大学出版社 北京 781085
中国传媒大学出版社 北京 781127
中国传媒大学出版社 北京 788003
中国大百科全书出版社 北京 75000
中国大百科全书出版社 北京 7900006
中国大百科全书电子音像出版社 北京 788750
中国大百科全书电子音像出版社 北京 7900133
中国大地出版社 北京 780097
中国大地出版社 北京 780246
中国大地出版社 北京 780997
中国档案出版社 北京 75105
中国档案出版社 北京 780166
中国地图出版社 北京 7900048
中国电力出 北京 75803
中国电力出版社 北京 75083
中国电力出版社 北京 780125
中国电力出版社 北京 7900038
中国电力出版社 北京 7900109
中国电脑教育报社 北京 7900096
中国电影出版社 北京 7106
中国电子音像出版社 北京 7900017
中国电子音像出版社 北京 7900082
中国对外翻译出版公司 北京 75001
中国对外翻译出版公司 北京 789994
中国对外经济贸易出版社 北京 780004
中国发展出版社 北京 780087
中国发展出版社 北京 780234
中国法律出版社 北京 760271
中国法制出版社 北京 75093
中国法制出版社 北京 770182
中国法制出版社 北京 780083
中国法制出版社 北京 780182
中国法制出版社 北京 780226
中国方正出版社 北京 780107
中国方正出版社 北京 780216
中国纺织出版社 北京 75064
中国妇女出版社 北京 780016
中国妇女出版社 北京 780131
中国妇女出版社 北京 780203
中国妇女音像出版社 北京 788743
中国高等教育出版社 北京 75132
中国工人出版社 北京 75008
中国工商出版社 北京 780215
中国广播出版社 北京 75708
中国广播电视出版社 北京 75043
中国广播音像出版社 北京 788002
中国广播影视音像出版中心 北京 788719
中国国际电视总公司 北京 77998
中国国际广播出版社 北京 75078
中国国际广播出版社 北京 778035
中国国际广播出版社 北京 780035
中国国际广播出版社 北京 7800359484
中国国际广播音像出版社 北京 788004
中国国际广播音像出版社 北京 788089
中国国际广播音像出版社 北京 789993
中国国际广播音像出版社 北京 7900209
中国国际广播音像出版社 北京 790069
